Tên công ty,Mã số thuế,Người đại diện,Địa chỉ
CHI NHÁNH CÔNG TY TNHH PHÚ LONG HƯNG,0303609030-001,Mã số thuế: 0303609030-001,"số 47A Hương Lộ 2, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH VIETLICHT,0106813044,Mã số thuế: 0106813044,"Số 35, ngõ 230/31/24, phố Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI KỲ LỰC TỐC,0303973135,Mã số thuế: 0303973135,"25 Đồng Khởi, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN MBG,0102382580-003,Mã số thuế: 0102382580-003,"Xóm Ao Kềnh, Xã Liên Sơn, Huyện Lương Sơn, Tỉnh Hòa Bình, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI ATZ LIGHTING VIỆT NAM,0106935003,Mã số thuế: 0106935003,"Số 37, tập thể Bệnh Viện Đa Khoa, ngõ 15/2, phố Ô Cách, tổ 6B, Phường Đức Giang, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CƠ KHÍ VÀ KỸ NGHỆ KIM LOẠI BÁCH TUYẾN,0303375103,Mã số thuế: 0303375103,"766/11/2, Hẻm 766, Khu phố 4, Quốc Lộ 13, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TNHH VINA LITE,0311273465-001,Mã số thuế: 0311273465-001,"Số 1B Nguyễn Trãi, Phường 10, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam"
CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ SAO TRỤ,3700899557,Mã số thuế: 3700899557,"A4/41 Ấp 1B, Đường Liên Ấp 123, Xã Vĩnh Lộc B, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TIÊU ĐIỂM,0305598232,Mã số thuế: 0305598232,"Số 368/34/22 Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH CHIẾU SÁNG VIỆT NHẬT,0313411907,Mã số thuế: 0313411907,"173/37A Đường Gò Xoài, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN ĐẦU TƯ THƯƠNG MẠI IBT- XƯỞNG SẢN XUẤT ĐÈN LED,0312570894-001,Mã số thuế: 0312570894-001,"31/3 Bis Đường Đông Hưng Thuận 2, Khu Phố 4, Phường Tân Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN ÁNH DƯƠNG,3800377674,Mã số thuế: 3800377674,"Ấp 9, Xã Tân Hiệp, Huyện Hớn Quản, Tỉnh Bình Phước, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN THIẾT BỊ CHIẾU SÁNG THÁI DƯƠNG-XƯỞNG SẢN XUẤT,0310976345-001,Mã số thuế: 0310976345-001,"814/8 Đường Long Phước, Ấp Trường Khánh, Phường Long Phước, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
TRUNG TÂM HƯỚNG NGHIỆP VÀ VIỆC LÀM CHO THANH NIÊN - CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN THANH NIÊN VIỆT NAM,0307573434-004,Mã số thuế: 0307573434-004,"4/24C Cụm Công Nghiệp Quang Trung, Ấp 6, Xã Đông Thạnh, Huyện Hóc Môn, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH CÔNG TY CỔ PHẦN QUỐC TẾ VAG,0105741541-001,Mã số thuế: 0105741541-001,"40/56 Lê Đức Thọ, Phường 1, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH DOANH NGHIỆP TƯ NHÂN AVIVA,0201145397-001,Mã số thuế: 0201145397-001,"Số 29  Đường CN6 , Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU SẢN XUẤT THẢO NGUYÊN,1001274132,Mã số thuế: 1001274132,"Nhà ông Nhâm Sỹ Quảng, Thôn Trưng Trắc A, Xã Đông Á, Huyện Đông Hưng, Tỉnh Thái Bình, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ ĐẦU TƯ THƯƠNG MẠI HƯNG LONG,0106751581,Mã số thuế: 0106751581,"Số 2, ngõ 615, đường Nguyễn Văn Cừ, Phường Gia Thuỵ, Quận Long Biên, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN ĐIỆN CHIẾU SÁNG ĐẠI PHÚ LÂM,0401517571,Mã số thuế: 0401517571,"54 Đào Tấn, Phường Bình Thuận, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ TUẤN VIỆT,6300195343,Mã số thuế: 6300195343,"Số 217, ấp Đông Phú, Xã Đông Phước, Huyện Châu Thành, Tỉnh Hậu Giang, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY LẮP ĐẠI NGỌC,0305320798,Mã số thuế: 0305320798,"Số 91, đường C18, Phường 12, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT VÀ THƯƠNG MẠI ÁNH DƯƠNG VIỆT NAM,0312691151,Mã số thuế: 0312691151,"60/13 đường số 5, khu phố 8, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ TÀI CHÍNH THIÊN ÂN,0103711446,Mã số thuế: 0103711446,"Số 481 Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ CHIẾU SÁNG HỮU NGHỊ VIỆT TRUNG,4900900191,Mã số thuế: 4900900191,"Quốc lộ 1A, thôn Khòn Pát, Xã Mai Pha, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam"
CÔNG TY TNHH THIẾT BỊ CHIẾU SÁNG THÁI DƯƠNG,0310976345,Mã số thuế: 0310976345,"769/44/49/17 Phạm Thế Hiển, Phường Chánh Hưng, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN SIÊU NĂNG LƯỢNG,3602599315,Mã số thuế: 3602599315,"46/5, Ấp Vĩnh Hiệp, Xã Tân Bình, Huyện Vĩnh Cửu, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY CỔ PHẦN THIẾT BỊ ĐIỆN VÀ CHIẾU SÁNG ĐÔ THỊ TÂN HOÀNG PHƯỚC,0105269625,Mã số thuế: 0105269625,"Số 17, tổ 11A, Phường Đồng Tâm, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ KNC VIỆT NAM,0105655370,Mã số thuế: 0105655370,"Số 231 Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Thành phố Hà Nội, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN S.V,0303031085,Mã số thuế: 0303031085,"526 Xô Viết Nghệ Tĩnh , Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SX & TM ĐIỆN SÁNG AN KHANG,0401470764,Mã số thuế: 0401470764,"Tổ 38, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam"
CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ SẢN XUẤT QUANG TUẤN NEON,0105367686,Mã số thuế: 0105367686,"Số 1 ngõ 178, phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN NGÂN ĐĂNG,0310785541,Mã số thuế: 0310785541,"3/8 Đường 25A, Tổ 8, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH KAHOKU LIGHTING SOLUTIONS VIỆT NAM,3702075925,Mã số thuế: 3702075925,"Lô C3.6, đường Đ1, khu công nghiệp Đồng An 2, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN ĐIỆN CHIẾU SÁNG ĐÀ NẴNG,0400558381,Mã số thuế: 0400558381,"K292/H51/02 Hải Phòng, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"
CÔNG TY CỔ PHẦN CHIẾU SÁNG VÀ THƯƠNG MẠI HÀ NỘI,0105880697,Mã số thuế: 0105880697,"Thôn Trường An, Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI NHƯ PHƯƠNG,0105470443,Mã số thuế: 0105470443,"Đội 1, Thôn Lam Điền, Xã Lam Điền, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT HỮU TRÍ,0302825695,Mã số thuế: 0302825695,"25/55 Nguyễn Minh Châu, Phường Phú Trung, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN  THIẾT BỊ ĐIỆN CÔNG NGHIỆP HÀ NỘI,0101500880,Mã số thuế: 0101500880,"1701 tầng 17, Prime Center, số 53 Quang Trung, Phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN DỊCH VỤ THƯƠNG MẠI XUẤT NHẬP KHẨU KIM BÌNH PHÁT,0310584186,Mã số thuế: 0310584186,"53B đường Nam Hòa, tổ 4, khu phố 3, Phường Phước Long A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VẬN TẢI VÀ XÂY DỰNG THIÊN PHÚ,0201133070,Mã số thuế: 0201133070,"Số 235 đường Đằng Hải, Phường Đằng Hải, Quận Hải An, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI TRÍ PHÁT,0304597966,Mã số thuế: 0304597966,"26/7 Tổ 1, Khu 1, ấp Chợ, Xã Tân Phú Trung, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH  MỘT THÀNH VIÊN THƯƠNG MẠI ÁNH SÁNG TUẤN KHƯƠNG,0309342841,Mã số thuế: 0309342841,"30-32 Lê Khôi, Phường Phú Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI ĐẦU TƯ DEVITA,0310853431,Mã số thuế: 0310853431,"41 Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI LÂM VIỆT QUANG,0310861009,Mã số thuế: 0310861009,"25/57D Phan Huy Ích, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DỊCH VỤ ĐIỆN MÁY TUẤN PHÁT,0311138956,Mã số thuế: 0311138956,"90 Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN CHIẾU SÁNG NAM HAPULICO,3600761932,Mã số thuế: 3600761932,"Lô II-14, KCN Hố Nai, Xã Bắc Sơn, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU QUỐC TẾ ĐẠI PHÁT,0201160162,Mã số thuế: 0201160162,"Tổ 38 khu 3 (tại nhà ông Đoàn Văn Phương), Phường Vĩnh Niệm, Quận Lê Chân, Thành phố Hải Phòng, Việt Nam"
CÔNG TY CỔ PHẦN MAXWIN VIỆT NAM,0200546004,Mã số thuế: 0200546004,"Lô CN - 08, Khu công nghiệp Phúc Sơn, Phường Đông Hoa Lư, Tỉnh Ninh Bình, Việt Nam"
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ SẢN XUẤT NGA VIỆT,0110777906,Mã số thuế: 0110777906,"Số 2 hẻm 353/38/53 ngõ 409 An Dương Vương, Phường Phú Thượng, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH XUẤT NHẬP KHẨU QUỐC TẾ TRƯỜNG PHÁT,0201184389,Mã số thuế: 0201184389,"Số 103 khu D tập thể cá hộp, ngõ 47 Lê Lai, Phường Máy Chai, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH NVC VIỆT NAM,0201187904,Mã số thuế: 0201187904,"Số 103 khu D Tập thể cá hộp, ngõ 47 Lê Lai, Phường Máy Chai, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH ĐẶC RẠNG VIỆT NAM,3900378463,Mã số thuế: 3900378463,"Ấp Suối Cao, Xã Phước Đông, Huyện Gò Dầu, Tỉnh Tây Ninh, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN KỸ THUẬT NĂNG LƯỢNG SẠCH,0900674139,Mã số thuế: 0900674139,"Thôn An Lạc, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam"
CÔNG TY TNHH DAIICHI DENSO BUHIN VIỆT NAM,2300564674,Mã số thuế: 2300564674,"Số 9, đường 9, KCN đô thị và dịch vụ VSIP Bắc Ninh, Phường Phù Chẩn, Thị xã Từ Sơn, Tỉnh Bắc Ninh, Việt Nam"
CÔNG TY TNHH WOOREE LEAD WIRE (VIỆT NAM),0303122279,Mã số thuế: 0303122279,"Khu phố Đông Chiêu, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN EUROLAMP VIỆT NAM,0105148349,Mã số thuế: 0105148349,"Số 22, ngõ 102, phố Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ TIẾT KIỆM ĐIỆN,0105275890,Mã số thuế: 0105275890,"Thôn Đình Quán, Xã Phú Diễn, Huyện Từ Liêm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH KỸ THUẬT KAMINT VIỆT NAM,3603715821,Mã số thuế: 3603715821,"Đường số N4, KCN Dệt May Nhơn Trạch, Thị trấn Hiệp Phước, Huyện Nhơn Trạch, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ ĐIỆN TỬ TAM HỒNG,0106958057,Mã số thuế: 0106958057,"Số 7/57, ngõ 293, đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN E-SMART VIỆT NAM,0107026226,Mã số thuế: 0107026226,"Số 7, tổ 9, phố Định Công, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN LED TÂN QUANG MINH,0313536896-001,Mã số thuế: 0313536896-001,"352/3A Lê Văn Quới, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI CƠ KHÍ-ĐIỆN ĐẠT MINH,0314122418,Mã số thuế: 0314122418,"736/186/23 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT VINAMAX,0106832512,Mã số thuế: 0106832512,"Ngõ 3 đường Thanh Lãm, Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN SẢN XUẤT THIẾT BỊ CHIẾU SÁNG TK VIỆT NAM,0106903675,Mã số thuế: 0106903675,"Số 16, phố Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN PHÁT TRIỂN NGUỒN LỰC TRÍ TUỆ VIỆT NAM,0107098100,Mã số thuế: 0107098100,"Tầng 6 tòa nhà Việt Á, số 9 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH DẠY NGHỀ CHO NGƯỜI KHUYẾT TẬT -  CÔNG TY CỔ PHẦN LED BÌNH MINH,0312434186-002,Mã số thuế: 0312434186-002,"61/6C Tổ 13, Khu phố 4, Phường Tân Thới Hiệp, Quận 12, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY CỔ PHẦN GIẢI PHÁP CHIẾU SÁNG SMARTLIGHT,0106994922,Mã số thuế: 0106994922,"75 Nguyễn Phong Sắc, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN CHIẾU SÁNG ĐÔNG DƯƠNG,0314802156,Mã số thuế: 0314802156,"Số 10 Phạm Văn Hai, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CQC LED,0108114179,Mã số thuế: 0108114179,"Khu Đấu giá 31 ha, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH CÔNG NGHỆ CHIẾU SÁNG BẰNG PHI,0202179247,Mã số thuế: 0202179247,"Thửa đất số 597, Thôn Đông, Xã Thuỷ Triều, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam"
CÔNG TY TNHH - V - VIỆT THÁI,0106489574,Mã số thuế: 0106489574,"Tổ dân phố số 6, Phường Phú Lãm, Quận Hà Đông, Thành phố Hà Nội, Việt Nam"
CÔNG TY CỔ PHẦN CHIẾU SÁNG THĂNG LONG,0106538454,Mã số thuế: 0106538454,"Số 56, phố Bùi Thị Xuân, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI - SẢN XUẤT VĨNH KÝ,3700618076-001,Mã số thuế: 3700618076-001,"Số 195/5A, khu phố Bình Đường 3, Phường An Bình, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH MỘT THÀNH VIÊN ÁNH SÁNG SỐ,0312891231,Mã số thuế: 0312891231,"16 - 18 Đường B2, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam"
CHI NHÁNH ĐỒNG AN - CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐIỆN QUANG.,0300363808-013,Mã số thuế: 0300363808-013,"Lô A đường số 1, khu công nghiệp Đồng An, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY CỔ PHẦN VINALIGHT,0107595448,Mã số thuế: 0107595448,"Số 31 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam"
CHI NHÁNH CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI - DỊCH VỤ TRẦN THÀNH JUREN,0314036487-001,Mã số thuế: 0314036487-001,"66A An Dương Vương, Phường 16, Quận 8, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH FORTEKS,3702508128,Mã số thuế: 3702508128,"Số 7 Đại Lộ Độc Lập, Khu công nghiệp Sóng Thần 1, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI VÀ THIẾT BỊ CÔNG NGHIỆP DHTECH,0107630519,Mã số thuế: 0107630519,"Số 69, đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam"
CÔNG TY TNHH NAWALITE LIGHTING,0313880521,Mã số thuế: 0313880521,"48 Đường 12, Khu dân cư ven sông, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam"
CÔNG TY TNHH SẢN XUẤT HỒNG NGỌC,0312931607,Mã số thuế: 0312931607,"10 Đường 1C, Khu phố 15, Phường Bình Hưng Hòa A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam"
XƯỞNG SẢN XUẤT GIA CÔNG - CHI NHÁNH CÔNG TY CỔ PHẦN ÁNH DƯƠNG,3800377674-006,Mã số thuế: 3800377674-006,"Lô 33, đường số 7, KCN Tam Phước, Xã  Tam Phước, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT DŨNG PHONG,0313074377,Mã số thuế: 0313074377,"391 Lê Văn Thọ, Phường 9, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam"
